train_number,train_name,source,destination,departure_time,arrival_time,distance_km,duration_hours,train_type,class,fare,available_seats,platform,running_days,rating
19270,Duronto Express,Howrah,Jaipur,18:01,14:32,1799.0,35.3,Express,CC,2956.0,353.0,11.0,Tue-Sun,3.6
12860,Rajdhani Express,Jaipur,Patna,22:49,21:36,1350.0,18.7,Superfast,CC,2640.0,11.0,,Wed-Sun,3.6
17390,Duronto Express,Bhopal,Kolkata,12:20,01:01,1782.0,13.2,Superfast,2A,477.0,274.0,14.0,Daily,2.9
17191,Garib Rath Express,Howrah,Patna,01:56,09:55,1655.0,23.5,Passenger,1A,3460.0,,4.0,Mon-Sat,4.5
17734,Duronto Express,Chennai Central,Bengaluru,13:10,12:08,2194.0,10.2,Superfast,SL,3450.0,43.0,13.0,Daily,4.2
18265,Rajdhani Express,Lucknow,Hyderabad,19:10,,1356.0,4.6,Premium,2A,,,14.0,Mon-Fri,3.1
12466,Garib Rath Express,Chennai Central,Chennai Central,23:36,06:36,1649.0,6.4,Superfast,1A,3204.0,304.0,1.0,Tue-Sun,2.7
16426,Gatimaan Express,Chennai Central,Jaipur,16:52,11:38,1266.0,6.4,Passenger,2S,2293.0,444.0,,Mon-Fri,
17578,Humsafar Express,Howrah,Ahmedabad,18:01,17:22,1496.0,7.2,Superfast,3A,1461.0,16.0,14.0,Daily,4.1
20322,Humsafar Express,Vijayawada,Bengaluru,10:33,02:56,570.0,6.7,Premium,CC,3341.0,329.0,5.0,Daily,3.2
13685,Konkan Kanya Express,Howrah,Pune,08:32,06:35,1135.0,23.8,Express,2S,2688.0,56.0,12.0,Wed-Sun,4.9
12769,Intercity Express,Ahmedabad,Kolkata,13:21,07:24,1453.0,8.2,Passenger,1A,4133.0,310.0,9.0,Mon-Sat,2.9
22583,Gatimaan Express,,New Delhi,18:39,20:56,1067.0,13.8,Express,2S,314.0,496.0,8.0,Mon-Sat,3.6
18949,Gatimaan Express,Pune,Patna,19:01,,457.0,32.5,Express,3A,4427.0,,12.0,Mon-Fri,4.9
